Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2022-05-30T00:00Z,255,243,high
2022-05-30T00:30Z,257,247,high
2022-05-30T01:00Z,258,254,high
2022-05-30T01:30Z,256,253,high
2022-05-30T02:00Z,254,252,high
2022-05-30T02:30Z,254,256,high
2022-05-30T03:00Z,250,252,high
2022-05-30T03:30Z,252,252,high
2022-05-30T04:00Z,251,250,high
2022-05-30T04:30Z,253,251,high
2022-05-30T05:00Z,254,252,high
2022-05-30T05:30Z,246,255,high
2022-05-30T06:00Z,248,258,high
2022-05-30T06:30Z,247,243,high
2022-05-30T07:00Z,245,242,high
2022-05-30T07:30Z,244,243,high
2022-05-30T08:00Z,240,240,high
2022-05-30T08:30Z,237,237,high
2022-05-30T09:00Z,233,235,high
2022-05-30T09:30Z,228,233,high
2022-05-30T10:00Z,234,231,high
2022-05-30T10:30Z,238,226,high
2022-05-30T11:00Z,237,231,high
2022-05-30T11:30Z,239,240,high
2022-05-30T12:00Z,237,235,high
2022-05-30T12:30Z,236,240,high
2022-05-30T13:00Z,237,238,high
2022-05-30T13:30Z,237,237,high
2022-05-30T14:00Z,233,236,high
2022-05-30T14:30Z,239,233,high
2022-05-30T15:00Z,239,236,high
2022-05-30T15:30Z,233,238,high
2022-05-30T16:00Z,228,242,high
2022-05-30T16:30Z,228,234,high
2022-05-30T17:00Z,240,231,high
2022-05-30T17:30Z,239,226,high
2022-05-30T18:00Z,240,241,high
2022-05-30T18:30Z,233,242,high
2022-05-30T19:00Z,243,244,high
2022-05-30T19:30Z,253,242,high
2022-05-30T20:00Z,251,248,high
2022-05-30T20:30Z,248,256,high
2022-05-30T21:00Z,252,256,high
2022-05-30T21:30Z,257,254,high
2022-05-30T22:00Z,257,251,high
2022-05-30T22:30Z,260,259,high
2022-05-30T23:00Z,256,246,high
2022-05-30T23:30Z,259,265,high
2022-05-31T00:00Z,258,261,high
2022-05-31T00:30Z,265,262,high
2022-05-31T01:00Z,266,261,high
2022-05-31T01:30Z,266,266,high
2022-05-31T02:00Z,263,262,high
2022-05-31T02:30Z,261,266,high
2022-05-31T03:00Z,261,262,high
2022-05-31T03:30Z,264,261,high
2022-05-31T04:00Z,264,260,high
2022-05-31T04:30Z,267,262,high
2022-05-31T05:00Z,263,266,high
2022-05-31T05:30Z,248,268,high
2022-05-31T06:00Z,250,266,high
2022-05-31T06:30Z,236,254,high
2022-05-31T07:00Z,234,252,high
2022-05-31T07:30Z,244,233,high
2022-05-31T08:00Z,242,235,high
2022-05-31T08:30Z,241,235,high
2022-05-31T09:00Z,236,237,high
2022-05-31T09:30Z,229,235,high
2022-05-31T10:00Z,222,235,high
2022-05-31T10:30Z,221,223,high
2022-05-31T11:00Z,220,218,high
2022-05-31T11:30Z,220,216,high
2022-05-31T12:00Z,214,210,high
2022-05-31T12:30Z,213,218,high
2022-05-31T13:00Z,212,215,high
2022-05-31T13:30Z,212,210,high
2022-05-31T14:00Z,212,210,high
2022-05-31T14:30Z,211,211,high
2022-05-31T15:00Z,214,209,high
2022-05-31T15:30Z,216,212,high
2022-05-31T16:00Z,223,217,high
2022-05-31T16:30Z,229,217,high
2022-05-31T17:00Z,231,223,high
2022-05-31T17:30Z,229,229,high
2022-05-31T18:00Z,229,233,high
2022-05-31T18:30Z,235,232,high
2022-05-31T19:00Z,242,235,high
2022-05-31T19:30Z,247,238,high
2022-05-31T20:00Z,250,246,high
2022-05-31T20:30Z,257,252,high
2022-05-31T21:00Z,256,251,high
2022-05-31T21:30Z,263,256,high
2022-05-31T22:00Z,264,253,high
2022-05-31T22:30Z,261,255,high
2022-05-31T23:00Z,260,255,high
2022-05-31T23:30Z,261,256,high
2022-06-01T00:00Z,262,258,high
2022-06-01T00:30Z,267,260,high
2022-06-01T01:00Z,269,263,high
2022-06-01T01:30Z,270,257,high
2022-06-01T02:00Z,271,223,high
2022-06-01T02:30Z,271,229,high
2022-06-01T03:00Z,272,231,high
2022-06-01T03:30Z,273,234,high
2022-06-01T04:00Z,270,271,high
2022-06-01T04:30Z,270,271,high
2022-06-01T05:00Z,270,273,high
2022-06-01T05:30Z,263,276,high
2022-06-01T06:00Z,260,274,high
2022-06-01T06:30Z,248,267,high
2022-06-01T07:00Z,243,261,high
2022-06-01T07:30Z,240,259,high
2022-06-01T08:00Z,237,241,high
2022-06-01T08:30Z,240,238,high
2022-06-01T09:00Z,236,234,high
2022-06-01T09:30Z,233,231,high
2022-06-01T10:00Z,230,234,high
2022-06-01T10:30Z,226,231,high
2022-06-01T11:00Z,230,227,high
2022-06-01T11:30Z,235,230,high
2022-06-01T12:00Z,235,229,high
2022-06-01T12:30Z,233,232,high
2022-06-01T13:00Z,230,231,high
2022-06-01T13:30Z,232,230,high
2022-06-01T14:00Z,236,230,high
2022-06-01T14:30Z,237,229,high
2022-06-01T15:00Z,238,232,high
2022-06-01T15:30Z,238,236,high
2022-06-01T16:00Z,240,240,high
2022-06-01T16:30Z,238,238,high
2022-06-01T17:00Z,242,240,high
2022-06-01T17:30Z,244,240,high
2022-06-01T18:00Z,248,244,high
2022-06-01T18:30Z,250,247,high
2022-06-01T19:00Z,257,247,high
2022-06-01T19:30Z,263,253,high
2022-06-01T20:00Z,266,255,high
2022-06-01T20:30Z,269,267,high
2022-06-01T21:00Z,271,267,high
2022-06-01T21:30Z,272,268,high
2022-06-01T22:00Z,274,270,high
2022-06-01T22:30Z,274,276,high
2022-06-01T23:00Z,275,278,high
2022-06-01T23:30Z,280,277,high
2022-06-02T00:00Z,279,281,high
2022-06-02T00:30Z,276,283,high
2022-06-02T01:00Z,278,277,high
2022-06-02T01:30Z,277,275,high
2022-06-02T02:00Z,275,275,high
2022-06-02T02:30Z,275,274,high
2022-06-02T03:00Z,274,274,high
2022-06-02T03:30Z,275,273,high
2022-06-02T04:00Z,273,274,high
2022-06-02T04:30Z,273,267,high
2022-06-02T05:00Z,271,270,high
2022-06-02T05:30Z,265,268,high
2022-06-02T06:00Z,261,269,high
2022-06-02T06:30Z,252,260,high
2022-06-02T07:00Z,246,258,high
2022-06-02T07:30Z,235,249,high
2022-06-02T08:00Z,232,243,high
2022-06-02T08:30Z,231,234,high
2022-06-02T09:00Z,224,228,high
2022-06-02T09:30Z,219,224,high
2022-06-02T10:00Z,215,221,high
2022-06-02T10:30Z,214,213,high
2022-06-02T11:00Z,211,212,high
2022-06-02T11:30Z,212,214,high
2022-06-02T12:00Z,212,212,high
2022-06-02T12:30Z,211,210,high
2022-06-02T13:00Z,212,209,high
2022-06-02T13:30Z,211,207,high
2022-06-02T14:00Z,211,205,high
