Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2022-01-30T00:00Z,133,142,moderate
2022-01-30T00:30Z,124,134,low
2022-01-30T01:00Z,139,140,moderate
2022-01-30T01:30Z,146,133,moderate
2022-01-30T02:00Z,147,141,moderate
2022-01-30T02:30Z,152,146,moderate
2022-01-30T03:00Z,161,150,moderate
2022-01-30T03:30Z,173,160,moderate
2022-01-30T04:00Z,178,162,moderate
2022-01-30T04:30Z,182,163,moderate
2022-01-30T05:00Z,188,177,moderate
2022-01-30T05:30Z,195,172,moderate
2022-01-30T06:00Z,205,189,moderate
2022-01-30T06:30Z,220,194,high
2022-01-30T07:00Z,232,201,high
2022-01-30T07:30Z,243,229,high
2022-01-30T08:00Z,250,239,high
2022-01-30T08:30Z,247,236,high
2022-01-30T09:00Z,247,255,high
2022-01-30T09:30Z,239,254,high
2022-01-30T10:00Z,229,246,high
2022-01-30T10:30Z,224,242,high
2022-01-30T11:00Z,221,230,high
2022-01-30T11:30Z,214,220,high
2022-01-30T12:00Z,203,216,moderate
2022-01-30T12:30Z,192,205,moderate
2022-01-30T13:00Z,181,198,moderate
2022-01-30T13:30Z,178,189,moderate
2022-01-30T14:00Z,171,185,moderate
2022-01-30T14:30Z,166,187,moderate
2022-01-30T15:00Z,161,174,moderate
2022-01-30T15:30Z,165,165,moderate
2022-01-30T16:00Z,172,157,moderate
2022-01-30T16:30Z,172,165,moderate
2022-01-30T17:00Z,169,180,moderate
2022-01-30T17:30Z,169,176,moderate
2022-01-30T18:00Z,169,169,moderate
2022-01-30T18:30Z,173,156,moderate
2022-01-30T19:00Z,165,154,moderate
2022-01-30T19:30Z,154,153,moderate
2022-01-30T20:00Z,141,146,moderate
2022-01-30T20:30Z,118,133,low
2022-01-30T21:00Z,101,126,low
2022-01-30T21:30Z,91,104,low
2022-01-30T22:00Z,76,89,low
2022-01-30T22:30Z,73,78,low
2022-01-30T23:00Z,66,69,low
2022-01-30T23:30Z,64,68,low
2022-01-31T00:00Z,61,61,low
2022-01-31T00:30Z,58,60,low
2022-01-31T01:00Z,62,60,low
2022-01-31T01:30Z,64,54,low
2022-01-31T02:00Z,58,58,low
2022-01-31T02:30Z,59,59,low
2022-01-31T03:00Z,59,54,low
2022-01-31T03:30Z,59,50,low
2022-01-31T04:00Z,57,50,low
2022-01-31T04:30Z,55,50,low
2022-01-31T05:00Z,61,51,low
2022-01-31T05:30Z,69,51,low
2022-01-31T06:00Z,80,53,low
2022-01-31T06:30Z,98,58,low
2022-01-31T07:00Z,122,72,low
2022-01-31T07:30Z,134,87,moderate
2022-01-31T08:00Z,150,96,moderate
2022-01-31T08:30Z,158,98,moderate
2022-01-31T09:00Z,159,103,moderate
2022-01-31T09:30Z,160,103,moderate
2022-01-31T10:00Z,158,103,moderate
2022-01-31T10:30Z,156,155,moderate
