Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2022-01-01T00:00Z,71,83,low
2022-01-01T00:30Z,74,74,low
2022-01-01T01:00Z,75,70,low
2022-01-01T01:30Z,73,70,low
2022-01-01T02:00Z,68,61,low
2022-01-01T02:30Z,71,62,low
2022-01-01T03:00Z,65,57,low
2022-01-01T03:30Z,62,70,low
2022-01-01T04:00Z,57,61,low
2022-01-01T04:30Z,59,62,low
2022-01-01T05:00Z,55,55,low
2022-01-01T05:30Z,52,59,low
2022-01-01T06:00Z,53,52,low
2022-01-01T06:30Z,51,50,low
2022-01-01T07:00Z,48,52,low
2022-01-01T07:30Z,45,51,low
2022-01-01T08:00Z,47,47,low
2022-01-01T08:30Z,49,44,low
2022-01-01T09:00Z,49,45,low
2022-01-01T09:30Z,47,50,low
2022-01-01T10:00Z,53,51,low
2022-01-01T10:30Z,49,48,low
2022-01-01T11:00Z,48,51,low
2022-01-01T11:30Z,45,48,low
2022-01-01T12:00Z,48,49,low
2022-01-01T12:30Z,52,41,low
2022-01-01T13:00Z,57,46,low
2022-01-01T13:30Z,54,55,low
2022-01-01T14:00Z,58,54,low
2022-01-01T14:30Z,58,55,low
2022-01-01T15:00Z,60,56,low
2022-01-01T15:30Z,64,63,low
2022-01-01T16:00Z,71,60,low
2022-01-01T16:30Z,73,62,low
2022-01-01T17:00Z,81,72,low
2022-01-01T17:30Z,82,75,low
2022-01-01T18:00Z,83,80,low
2022-01-01T18:30Z,86,80,low
2022-01-01T19:00Z,85,79,low
2022-01-01T19:30Z,77,82,low
2022-01-01T20:00Z,73,82,low
2022-01-01T20:30Z,78,80,low
2022-01-01T21:00Z,76,71,low
2022-01-01T21:30Z,76,77,low
2022-01-01T22:00Z,68,72,low
2022-01-01T22:30Z,63,68,low
2022-01-01T23:00Z,60,53,low
2022-01-01T23:30Z,56,53,low
2022-01-02T00:00Z,56,55,low
2022-01-02T00:30Z,44,53,very low
2022-01-02T01:00Z,47,57,low
2022-01-02T01:30Z,50,44,low
2022-01-02T02:00Z,50,47,low
2022-01-02T02:30Z,47,47,low
2022-01-02T03:00Z,45,47,low
2022-01-02T03:30Z,47,47,low
2022-01-02T04:00Z,45,43,low
2022-01-02T04:30Z,50,49,low
2022-01-02T05:00Z,48,45,low
2022-01-02T05:30Z,54,50,low
2022-01-02T06:00Z,51,49,low
2022-01-02T06:30Z,50,53,low
2022-01-02T07:00Z,54,49,low
2022-01-02T07:30Z,48,49,low
2022-01-02T08:00Z,48,51,low
2022-01-02T08:30Z,57,46,low
2022-01-02T09:00Z,65,47,low
2022-01-02T09:30Z,62,55,low
2022-01-02T10:00Z,65,63,low
2022-01-02T10:30Z,63,62,low
2022-01-02T11:00Z,64,64,low
2022-01-02T11:30Z,70,64,low
2022-01-02T12:00Z,73,64,low
2022-01-02T12:30Z,74,69,low
2022-01-02T13:00Z,76,76,low
2022-01-02T13:30Z,76,74,low
2022-01-02T14:00Z,80,77,low
2022-01-02T14:30Z,85,76,low
2022-01-02T15:00Z,84,77,low
