Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2022-03-01T00:00Z,172,170,moderate
2022-03-01T00:30Z,170,182,moderate
2022-03-01T01:00Z,171,173,moderate
2022-03-01T01:30Z,164,160,moderate
2022-03-01T02:00Z,167,156,moderate
2022-03-01T02:30Z,164,156,moderate
2022-03-01T03:00Z,165,163,moderate
2022-03-01T03:30Z,162,163,moderate
2022-03-01T04:00Z,163,164,moderate
2022-03-01T04:30Z,176,162,moderate
2022-03-01T05:00Z,181,163,moderate
2022-03-01T05:30Z,201,179,moderate
2022-03-01T06:00Z,216,189,high
2022-03-01T06:30Z,232,217,high
2022-03-01T07:00Z,245,228,high
2022-03-01T07:30Z,244,235,high
2022-03-01T08:00Z,245,247,high
2022-03-01T08:30Z,237,244,high
2022-03-01T09:00Z,237,240,high
2022-03-01T09:30Z,238,234,high
2022-03-01T10:00Z,236,232,high
2022-03-01T10:30Z,232,234,high
2022-03-01T11:00Z,230,230,high
2022-03-01T11:30Z,229,232,high
2022-03-01T12:00Z,227,231,high
2022-03-01T12:30Z,227,236,high
2022-03-01T13:00Z,228,230,high
2022-03-01T13:30Z,232,230,high
2022-03-01T14:00Z,238,230,high
2022-03-01T14:30Z,238,235,high
2022-03-01T15:00Z,242,239,high
2022-03-01T15:30Z,245,241,high
2022-03-01T16:00Z,248,244,high
2022-03-01T16:30Z,246,245,high
2022-03-01T17:00Z,244,248,high
2022-03-01T17:30Z,241,243,high
2022-03-01T18:00Z,238,242,high
2022-03-01T18:30Z,236,239,high
2022-03-01T19:00Z,232,234,high
2022-03-01T19:30Z,234,231,high
2022-03-01T20:00Z,235,227,high
2022-03-01T20:30Z,240,232,high
2022-03-01T21:00Z,233,232,high
2022-03-01T21:30Z,226,236,high
2022-03-01T22:00Z,215,222,high
2022-03-01T22:30Z,195,209,moderate
2022-03-01T23:00Z,172,187,moderate
2022-03-01T23:30Z,148,180,moderate
2022-03-02T00:00Z,142,168,moderate
2022-03-02T00:30Z,132,182,moderate
2022-03-02T01:00Z,134,158,moderate
2022-03-02T01:30Z,127,130,low
2022-03-02T02:00Z,124,132,low
2022-03-02T02:30Z,121,130,low
2022-03-02T03:00Z,120,121,low
2022-03-02T03:30Z,121,115,low
2022-03-02T04:00Z,121,114,low
2022-03-02T04:30Z,127,116,low
2022-03-02T05:00Z,123,109,low
2022-03-02T05:30Z,128,123,low
2022-03-02T06:00Z,146,132,moderate
2022-03-02T06:30Z,168,139,moderate
2022-03-02T07:00Z,185,154,moderate
2022-03-02T07:30Z,196,165,moderate
2022-03-02T08:00Z,200,180,moderate
2022-03-02T08:30Z,203,192,moderate
2022-03-02T09:00Z,202,197,moderate
2022-03-02T09:30Z,196,196,moderate
2022-03-02T10:00Z,195,199,moderate
2022-03-02T10:30Z,189,194,moderate
2022-03-02T11:00Z,188,189,moderate
2022-03-02T11:30Z,186,187,moderate
2022-03-02T12:00Z,185,187,moderate
2022-03-02T12:30Z,184,187,moderate
2022-03-02T13:00Z,182,185,moderate
2022-03-02T13:30Z,179,178,moderate
2022-03-02T14:00Z,179,179,moderate
2022-03-02T14:30Z,186,180,moderate
2022-03-02T15:00Z,184,178,moderate
2022-03-02T15:30Z,191,186,moderate
2022-03-02T16:00Z,197,191,moderate
2022-03-02T16:30Z,201,193,moderate
2022-03-02T17:00Z,203,196,moderate
2022-03-02T17:30Z,203,194,moderate
2022-03-02T18:00Z,203,206,moderate
2022-03-02T18:30Z,202,199,moderate
2022-03-02T19:00Z,201,200,moderate
2022-03-02T19:30Z,204,195,moderate
2022-03-02T20:00Z,203,197,moderate
2022-03-02T20:30Z,196,191,moderate
2022-03-02T21:00Z,192,192,moderate
2022-03-02T21:30Z,186,176,moderate
2022-03-02T22:00Z,175,167,moderate
2022-03-02T22:30Z,164,164,moderate
2022-03-02T23:00Z,156,161,moderate
2022-03-02T23:30Z,140,162,moderate
2022-03-03T00:00Z,138,154,moderate
2022-03-03T00:30Z,146,148,moderate
2022-03-03T01:00Z,150,141,moderate
2022-03-03T01:30Z,141,148,moderate
2022-03-03T02:00Z,140,150,moderate
2022-03-03T02:30Z,133,141,moderate
2022-03-03T03:00Z,132,141,moderate
2022-03-03T03:30Z,134,133,moderate
2022-03-03T04:00Z,133,131,moderate
2022-03-03T04:30Z,131,133,moderate
2022-03-03T05:00Z,134,127,moderate
2022-03-03T05:30Z,141,147,moderate
2022-03-03T06:00Z,160,139,moderate
2022-03-03T06:30Z,179,164,moderate
2022-03-03T07:00Z,196,193,moderate
2022-03-03T07:30Z,208,188,moderate
2022-03-03T08:00Z,213,202,high
2022-03-03T08:30Z,214,210,high
2022-03-03T09:00Z,212,213,high
2022-03-03T09:30Z,207,212,moderate
2022-03-03T10:00Z,206,213,moderate
2022-03-03T10:30Z,205,207,moderate
2022-03-03T11:00Z,205,207,moderate
2022-03-03T11:30Z,201,207,moderate
2022-03-03T12:00Z,201,207,moderate
2022-03-03T12:30Z,199,204,moderate
2022-03-03T13:00Z,201,205,moderate
2022-03-03T13:30Z,201,208,moderate
2022-03-03T14:00Z,206,209,moderate
2022-03-03T14:30Z,211,206,high
2022-03-03T15:00Z,217,211,high
2022-03-03T15:30Z,222,213,high
2022-03-03T16:00Z,228,223,high
2022-03-03T16:30Z,227,226,high
2022-03-03T17:00Z,228,214,high
2022-03-03T17:30Z,226,227,high
2022-03-03T18:00Z,231,227,high
2022-03-03T18:30Z,231,225,high
2022-03-03T19:00Z,233,231,high
2022-03-03T19:30Z,240,234,high
2022-03-03T20:00Z,239,238,high
2022-03-03T20:30Z,238,247,high
2022-03-03T21:00Z,233,234,high
2022-03-03T21:30Z,229,235,high
2022-03-03T22:00Z,220,228,high
2022-03-03T22:30Z,209,218,moderate
2022-03-03T23:00Z,197,205,moderate
2022-03-03T23:30Z,190,201,moderate
2022-03-04T00:00Z,188,210,moderate
2022-03-04T00:30Z,186,191,moderate
2022-03-04T01:00Z,189,206,moderate
