Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2022-06-29T00:00Z,162,155,moderate
2022-06-29T00:30Z,161,156,moderate
2022-06-29T01:00Z,163,161,moderate
2022-06-29T01:30Z,164,168,moderate
2022-06-29T02:00Z,171,158,moderate
2022-06-29T02:30Z,180,160,moderate
2022-06-29T03:00Z,185,164,moderate
2022-06-29T03:30Z,188,173,moderate
2022-06-29T04:00Z,190,184,moderate
2022-06-29T04:30Z,186,190,moderate
2022-06-29T05:00Z,193,189,moderate
2022-06-29T05:30Z,199,189,moderate
2022-06-29T06:00Z,208,196,moderate
2022-06-29T06:30Z,211,206,high
2022-06-29T07:00Z,216,207,high
2022-06-29T07:30Z,207,201,moderate
2022-06-29T08:00Z,212,198,high
2022-06-29T08:30Z,208,197,moderate
2022-06-29T09:00Z,213,193,high
2022-06-29T09:30Z,205,197,moderate
2022-06-29T10:00Z,206,196,moderate
2022-06-29T10:30Z,206,197,moderate
2022-06-29T11:00Z,200,191,moderate
2022-06-29T11:30Z,198,190,moderate
2022-06-29T12:00Z,195,187,moderate
2022-06-29T12:30Z,183,182,moderate
2022-06-29T13:00Z,187,178,moderate
2022-06-29T13:30Z,191,183,moderate
2022-06-29T14:00Z,196,188,moderate
2022-06-29T14:30Z,204,189,moderate
2022-06-29T15:00Z,212,193,high
2022-06-29T15:30Z,216,197,high
2022-06-29T16:00Z,217,200,high
2022-06-29T16:30Z,216,200,high
2022-06-29T17:00Z,226,204,high
2022-06-29T17:30Z,227,207,high
2022-06-29T18:00Z,231,213,high
2022-06-29T18:30Z,242,218,high
2022-06-29T19:00Z,240,221,high
2022-06-29T19:30Z,240,225,high
2022-06-29T20:00Z,240,228,high
2022-06-29T20:30Z,251,232,high
2022-06-29T21:00Z,245,227,high
2022-06-29T21:30Z,248,229,high
2022-06-29T22:00Z,249,223,high
2022-06-29T22:30Z,250,226,high
2022-06-29T23:00Z,248,229,high
2022-06-29T23:30Z,263,237,high
2022-06-30T00:00Z,262,243,high
2022-06-30T00:30Z,272,246,high
2022-06-30T01:00Z,277,250,high
2022-06-30T01:30Z,273,253,high
2022-06-30T02:00Z,276,255,high
2022-06-30T02:30Z,281,255,high
2022-06-30T03:00Z,285,258,high
2022-06-30T03:30Z,288,259,high
2022-06-30T04:00Z,287,261,high
2022-06-30T04:30Z,283,263,high
2022-06-30T05:00Z,284,266,high
2022-06-30T05:30Z,278,263,high
2022-06-30T06:00Z,275,262,high
2022-06-30T06:30Z,261,266,high
2022-06-30T07:00Z,258,263,high
2022-06-30T07:30Z,255,257,high
2022-06-30T08:00Z,251,253,high
2022-06-30T08:30Z,252,250,high
2022-06-30T09:00Z,250,247,high
2022-06-30T09:30Z,249,246,high
2022-06-30T10:00Z,253,246,high
2022-06-30T10:30Z,249,240,high
2022-06-30T11:00Z,251,251,high
2022-06-30T11:30Z,243,248,high
2022-06-30T12:00Z,239,244,high
2022-06-30T12:30Z,240,240,high
2022-06-30T13:00Z,235,238,high
2022-06-30T13:30Z,241,232,high
2022-06-30T14:00Z,245,229,high
2022-06-30T14:30Z,254,236,high
2022-06-30T15:00Z,253,235,high
2022-06-30T15:30Z,248,238,high
2022-06-30T16:00Z,245,238,high
2022-06-30T16:30Z,238,236,high
2022-06-30T17:00Z,239,240,high
2022-06-30T17:30Z,242,240,high
2022-06-30T18:00Z,248,238,high
2022-06-30T18:30Z,258,244,high
2022-06-30T19:00Z,261,245,high
2022-06-30T19:30Z,264,256,high
2022-06-30T20:00Z,268,256,high
2022-06-30T20:30Z,272,257,high
2022-06-30T21:00Z,267,257,high
2022-06-30T21:30Z,274,254,high
2022-06-30T22:00Z,268,249,high
2022-06-30T22:30Z,268,248,high
2022-06-30T23:00Z,266,247,high
2022-06-30T23:30Z,277,254,high
2022-07-01T00:00Z,276,253,high
2022-07-01T00:30Z,278,260,high
2022-07-01T01:00Z,274,257,high
2022-07-01T01:30Z,272,256,high
2022-07-01T02:00Z,274,252,high
2022-07-01T02:30Z,276,254,high
2022-07-01T03:00Z,275,247,high
2022-07-01T03:30Z,282,243,high
2022-07-01T04:00Z,278,258,high
2022-07-01T04:30Z,272,264,high
2022-07-01T05:00Z,273,256,high
2022-07-01T05:30Z,267,254,high
2022-07-01T06:00Z,262,255,high
2022-07-01T06:30Z,252,251,high
2022-07-01T07:00Z,249,250,high
2022-07-01T07:30Z,247,245,high
2022-07-01T08:00Z,239,240,high
2022-07-01T08:30Z,237,231,high
2022-07-01T09:00Z,231,232,high
2022-07-01T09:30Z,229,224,high
2022-07-01T10:00Z,223,216,high
2022-07-01T10:30Z,221,217,high
2022-07-01T11:00Z,220,219,high
2022-07-01T11:30Z,215,217,high
2022-07-01T12:00Z,220,216,high
2022-07-01T12:30Z,217,217,high
2022-07-01T13:00Z,215,216,high
2022-07-01T13:30Z,214,211,high
2022-07-01T14:00Z,212,205,high
2022-07-01T14:30Z,212,211,high
2022-07-01T15:00Z,209,212,moderate
2022-07-01T15:30Z,209,207,moderate
2022-07-01T16:00Z,206,207,moderate
2022-07-01T16:30Z,198,205,moderate
2022-07-01T17:00Z,189,203,moderate
2022-07-01T17:30Z,198,202,moderate
2022-07-01T18:00Z,206,195,moderate
2022-07-01T18:30Z,206,194,moderate
2022-07-01T19:00Z,211,201,high
2022-07-01T19:30Z,210,183,high
2022-07-01T20:00Z,213,211,high
2022-07-01T20:30Z,219,195,high
2022-07-01T21:00Z,218,205,high
2022-07-01T21:30Z,217,200,high
2022-07-01T22:00Z,215,206,high
2022-07-01T22:30Z,205,205,moderate
2022-07-01T23:00Z,197,203,moderate
2022-07-01T23:30Z,191,197,moderate
2022-07-02T00:00Z,188,186,moderate
2022-07-02T00:30Z,185,185,moderate
2022-07-02T01:00Z,185,181,moderate
2022-07-02T01:30Z,183,184,moderate
2022-07-02T02:00Z,183,181,moderate
2022-07-02T02:30Z,188,181,moderate
2022-07-02T03:00Z,189,180,moderate
2022-07-02T03:30Z,185,177,moderate
2022-07-02T04:00Z,185,173,moderate
2022-07-02T04:30Z,189,181,moderate
2022-07-02T05:00Z,191,178,moderate
2022-07-02T05:30Z,185,185,moderate
2022-07-02T06:00Z,181,186,moderate
2022-07-02T06:30Z,171,179,moderate
2022-07-02T07:00Z,169,174,moderate
2022-07-02T07:30Z,169,163,moderate
2022-07-02T08:00Z,165,164,moderate
2022-07-02T08:30Z,161,160,moderate
2022-07-02T09:00Z,159,154,moderate
2022-07-02T09:30Z,151,150,moderate
2022-07-02T10:00Z,148,147,moderate
2022-07-02T10:30Z,143,145,moderate
2022-07-02T11:00Z,134,136,moderate
2022-07-02T11:30Z,133,138,moderate
2022-07-02T12:00Z,136,124,moderate
2022-07-02T12:30Z,135,123,moderate
2022-07-02T13:00Z,133,128,moderate
2022-07-02T13:30Z,138,134,moderate
2022-07-02T14:00Z,138,121,moderate
2022-07-02T14:30Z,148,129,moderate
2022-07-02T15:00Z,155,132,moderate
2022-07-02T15:30Z,162,153,moderate
2022-07-02T16:00Z,170,164,moderate
2022-07-02T16:30Z,172,172,moderate
2022-07-02T17:00Z,175,180,moderate
2022-07-02T17:30Z,171,177,moderate
2022-07-02T18:00Z,176,179,moderate
2022-07-02T18:30Z,183,179,moderate
2022-07-02T19:00Z,185,186,moderate
2022-07-02T19:30Z,187,191,moderate
2022-07-02T20:00Z,202,191,moderate
2022-07-02T20:30Z,206,190,moderate
2022-07-02T21:00Z,210,205,high
2022-07-02T21:30Z,212,207,high
2022-07-02T22:00Z,209,202,moderate
2022-07-02T22:30Z,210,202,high
2022-07-02T23:00Z,205,210,moderate
2022-07-02T23:30Z,210,209,high
2022-07-03T00:00Z,213,207,high
2022-07-03T00:30Z,215,206,high
2022-07-03T01:00Z,217,201,high
2022-07-03T01:30Z,219,209,high
2022-07-03T02:00Z,217,212,high
2022-07-03T02:30Z,213,215,high
2022-07-03T03:00Z,211,214,high
2022-07-03T03:30Z,212,209,high
2022-07-03T04:00Z,211,207,high
2022-07-03T04:30Z,212,209,high
2022-07-03T05:00Z,210,205,high
2022-07-03T05:30Z,206,203,moderate
2022-07-03T06:00Z,201,201,moderate
2022-07-03T06:30Z,195,202,moderate
2022-07-03T07:00Z,189,197,moderate
2022-07-03T07:30Z,189,194,moderate
2022-07-03T08:00Z,185,191,moderate
2022-07-03T08:30Z,174,183,moderate
2022-07-03T09:00Z,177,177,moderate
2022-07-03T09:30Z,172,181,moderate
2022-07-03T10:00Z,168,182,moderate
2022-07-03T10:30Z,164,178,moderate
2022-07-03T11:00Z,165,176,moderate
2022-07-03T11:30Z,168,166,moderate
2022-07-03T12:00Z,163,163,moderate
2022-07-03T12:30Z,161,157,moderate
2022-07-03T13:00Z,154,145,moderate
2022-07-03T13:30Z,164,149,moderate
2022-07-03T14:00Z,164,150,moderate
2022-07-03T14:30Z,167,157,moderate
2022-07-03T15:00Z,170,162,moderate
2022-07-03T15:30Z,175,172,moderate
2022-07-03T16:00Z,176,173,moderate
2022-07-03T16:30Z,175,180,moderate
2022-07-03T17:00Z,179,175,moderate
2022-07-03T17:30Z,184,173,moderate
2022-07-03T18:00Z,187,183,moderate
2022-07-03T18:30Z,190,184,moderate
2022-07-03T19:00Z,195,187,moderate
2022-07-03T19:30Z,201,190,moderate
2022-07-03T20:00Z,207,192,moderate
2022-07-03T20:30Z,210,206,high
2022-07-03T21:00Z,207,204,moderate
2022-07-03T21:30Z,207,198,moderate
