Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2022-08-28T00:00Z,284,267,high
2022-08-28T00:30Z,285,260,high
2022-08-28T01:00Z,287,270,high
2022-08-28T01:30Z,290,268,high
2022-08-28T02:00Z,288,271,high
2022-08-28T02:30Z,289,275,high
2022-08-28T03:00Z,293,273,high
2022-08-28T03:30Z,294,282,high
2022-08-28T04:00Z,294,284,high
2022-08-28T04:30Z,293,290,high
2022-08-28T05:00Z,293,289,high
2022-08-28T05:30Z,292,223,high
2022-08-28T06:00Z,290,298,high
2022-08-28T06:30Z,285,291,high
2022-08-28T07:00Z,269,282,high
2022-08-28T07:30Z,261,273,high
2022-08-28T08:00Z,245,253,high
2022-08-28T08:30Z,238,240,high
2022-08-28T09:00Z,230,236,high
2022-08-28T09:30Z,225,229,high
2022-08-28T10:00Z,218,213,high
2022-08-28T10:30Z,214,210,high
2022-08-28T11:00Z,213,207,high
2022-08-28T11:30Z,209,204,moderate
2022-08-28T12:00Z,207,202,moderate
2022-08-28T12:30Z,209,204,moderate
2022-08-28T13:00Z,216,205,high
2022-08-28T13:30Z,222,211,high
2022-08-28T14:00Z,231,210,high
2022-08-28T14:30Z,240,214,high
2022-08-28T15:00Z,242,222,high
2022-08-28T15:30Z,247,233,high
2022-08-28T16:00Z,253,240,high
2022-08-28T16:30Z,257,241,high
2022-08-28T17:00Z,257,244,high
2022-08-28T17:30Z,260,249,high
2022-08-28T18:00Z,270,255,high
2022-08-28T18:30Z,276,250,high
2022-08-28T19:00Z,275,257,high
2022-08-28T19:30Z,275,261,high
2022-08-28T20:00Z,279,262,high
2022-08-28T20:30Z,277,265,high
2022-08-28T21:00Z,276,268,high
2022-08-28T21:30Z,276,268,high
2022-08-28T22:00Z,276,267,high
2022-08-28T22:30Z,276,262,high
2022-08-28T23:00Z,274,262,high
2022-08-28T23:30Z,271,263,high
2022-08-29T00:00Z,271,268,high
2022-08-29T00:30Z,268,258,high
2022-08-29T01:00Z,271,258,high
2022-08-29T01:30Z,273,254,high
2022-08-29T02:00Z,278,252,high
2022-08-29T02:30Z,275,257,high
2022-08-29T03:00Z,279,258,high
2022-08-29T03:30Z,278,264,high
2022-08-29T04:00Z,277,260,high
2022-08-29T04:30Z,275,266,high
2022-08-29T05:00Z,273,271,high
2022-08-29T05:30Z,271,249,high
2022-08-29T06:00Z,269,273,high
2022-08-29T06:30Z,265,260,high
2022-08-29T07:00Z,261,268,high
2022-08-29T07:30Z,254,257,high
2022-08-29T08:00Z,250,253,high
2022-08-29T08:30Z,244,248,high
2022-08-29T09:00Z,241,245,high
2022-08-29T09:30Z,234,237,high
2022-08-29T10:00Z,226,235,high
2022-08-29T10:30Z,224,233,high
2022-08-29T11:00Z,219,225,high
2022-08-29T11:30Z,221,223,high
2022-08-29T12:00Z,224,217,high
2022-08-29T12:30Z,225,219,high
2022-08-29T13:00Z,222,219,high
2022-08-29T13:30Z,219,219,high
2022-08-29T14:00Z,217,215,high
2022-08-29T14:30Z,220,216,high
2022-08-29T15:00Z,224,217,high
2022-08-29T15:30Z,231,220,high
2022-08-29T16:00Z,229,221,high
2022-08-29T16:30Z,231,231,high
2022-08-29T17:00Z,233,228,high
2022-08-29T17:30Z,233,234,high
2022-08-29T18:00Z,231,230,high
2022-08-29T18:30Z,237,235,high
2022-08-29T19:00Z,245,233,high
2022-08-29T19:30Z,242,236,high
2022-08-29T20:00Z,244,244,high
2022-08-29T20:30Z,240,244,high
2022-08-29T21:00Z,239,248,high
2022-08-29T21:30Z,236,247,high
2022-08-29T22:00Z,243,248,high
2022-08-29T22:30Z,241,243,high
2022-08-29T23:00Z,243,238,high
2022-08-29T23:30Z,242,240,high
2022-08-30T00:00Z,244,238,high
2022-08-30T00:30Z,244,242,high
2022-08-30T01:00Z,240,243,high
2022-08-30T01:30Z,239,242,high
2022-08-30T02:00Z,242,240,high
2022-08-30T02:30Z,246,242,high
2022-08-30T03:00Z,244,239,high
2022-08-30T03:30Z,242,239,high
2022-08-30T04:00Z,246,244,high
2022-08-30T04:30Z,248,245,high
2022-08-30T05:00Z,250,248,high
2022-08-30T05:30Z,251,194,high
2022-08-30T06:00Z,252,252,high
2022-08-30T06:30Z,249,247,high
2022-08-30T07:00Z,241,249,high
2022-08-30T07:30Z,231,247,high
2022-08-30T08:00Z,224,239,high
2022-08-30T08:30Z,223,231,high
2022-08-30T09:00Z,222,220,high
2022-08-30T09:30Z,219,219,high
2022-08-30T10:00Z,216,219,high
2022-08-30T10:30Z,216,218,high
2022-08-30T11:00Z,219,215,high
2022-08-30T11:30Z,221,215,high
2022-08-30T12:00Z,224,220,high
2022-08-30T12:30Z,225,219,high
2022-08-30T13:00Z,224,220,high
2022-08-30T13:30Z,227,222,high
2022-08-30T14:00Z,232,220,high
2022-08-30T14:30Z,232,223,high
2022-08-30T15:00Z,235,230,high
2022-08-30T15:30Z,238,231,high
2022-08-30T16:00Z,238,228,high
2022-08-30T16:30Z,240,230,high
2022-08-30T17:00Z,243,232,high
2022-08-30T17:30Z,245,232,high
2022-08-30T18:00Z,250,247,high
2022-08-30T18:30Z,253,252,high
2022-08-30T19:00Z,255,249,high
2022-08-30T19:30Z,254,248,high
2022-08-30T20:00Z,255,247,high
2022-08-30T20:30Z,252,244,high
2022-08-30T21:00Z,253,242,high
2022-08-30T21:30Z,249,245,high
2022-08-30T22:00Z,251,248,high
2022-08-30T22:30Z,248,249,high
2022-08-30T23:00Z,249,244,high
2022-08-30T23:30Z,251,246,high
2022-08-31T00:00Z,253,244,high
2022-08-31T00:30Z,252,241,high
2022-08-31T01:00Z,250,245,high
2022-08-31T01:30Z,241,242,high
2022-08-31T02:00Z,238,238,high
2022-08-31T02:30Z,238,235,high
2022-08-31T03:00Z,239,235,high
2022-08-31T03:30Z,239,236,high
2022-08-31T04:00Z,239,268,high
2022-08-31T04:30Z,244,265,high
2022-08-31T05:00Z,250,264,high
2022-08-31T05:30Z,253,264,high
2022-08-31T06:00Z,255,264,high
2022-08-31T06:30Z,252,260,high
2022-08-31T07:00Z,249,257,high
2022-08-31T07:30Z,242,256,high
2022-08-31T08:00Z,235,256,high
2022-08-31T08:30Z,227,255,high
2022-08-31T09:00Z,220,253,high
2022-08-31T09:30Z,214,251,high
2022-08-31T10:00Z,205,249,moderate
2022-08-31T10:30Z,205,247,moderate
2022-08-31T11:00Z,205,201,moderate
2022-08-31T11:30Z,207,198,moderate
2022-08-31T12:00Z,206,197,moderate
2022-08-31T12:30Z,205,196,moderate
2022-08-31T13:00Z,205,197,moderate
2022-08-31T13:30Z,205,197,moderate
2022-08-31T14:00Z,210,198,high
2022-08-31T14:30Z,211,200,high
2022-08-31T15:00Z,214,204,high
2022-08-31T15:30Z,218,207,high
2022-08-31T16:00Z,219,209,high
2022-08-31T16:30Z,221,214,high
2022-08-31T17:00Z,223,219,high
2022-08-31T17:30Z,225,225,high
2022-08-31T18:00Z,231,230,high
2022-08-31T18:30Z,232,232,high
2022-08-31T19:00Z,232,233,high
2022-08-31T19:30Z,235,232,high
2022-08-31T20:00Z,233,231,high
2022-08-31T20:30Z,223,229,high
2022-08-31T21:00Z,218,226,high
2022-08-31T21:30Z,216,228,high
2022-08-31T22:00Z,215,222,high
2022-08-31T22:30Z,212,219,high
2022-08-31T23:00Z,212,213,high
2022-08-31T23:30Z,211,214,high
2022-09-01T00:00Z,209,214,moderate
2022-09-01T00:30Z,207,213,moderate
2022-09-01T01:00Z,203,211,moderate
2022-09-01T01:30Z,202,209,moderate
2022-09-01T02:00Z,205,204,moderate
2022-09-01T02:30Z,209,206,moderate
2022-09-01T03:00Z,220,208,high
2022-09-01T03:30Z,228,208,high
2022-09-01T04:00Z,230,221,high
2022-09-01T04:30Z,240,230,high
2022-09-01T05:00Z,247,233,high
2022-09-01T05:30Z,255,236,high
2022-09-01T06:00Z,258,248,high
2022-09-01T06:30Z,254,252,high
2022-09-01T07:00Z,252,252,high
2022-09-01T07:30Z,248,253,high
2022-09-01T08:00Z,242,250,high
2022-09-01T08:30Z,240,248,high
2022-09-01T09:00Z,237,237,high
2022-09-01T09:30Z,228,232,high
2022-09-01T10:00Z,225,228,high
2022-09-01T10:30Z,220,229,high
2022-09-01T11:00Z,218,227,high
2022-09-01T11:30Z,217,222,high
2022-09-01T12:00Z,217,222,high
2022-09-01T12:30Z,216,220,high
2022-09-01T13:00Z,217,221,high
2022-09-01T13:30Z,218,218,high
2022-09-01T14:00Z,221,220,high
2022-09-01T14:30Z,224,220,high
2022-09-01T15:00Z,227,223,high
2022-09-01T15:30Z,231,224,high
2022-09-01T16:00Z,235,228,high
2022-09-01T16:30Z,235,230,high
2022-09-01T17:00Z,241,236,high
2022-09-01T17:30Z,247,234,high
2022-09-01T18:00Z,249,238,high
2022-09-01T18:30Z,246,241,high
2022-09-01T19:00Z,244,244,high
2022-09-01T19:30Z,244,245,high
2022-09-01T20:00Z,244,243,high
2022-09-01T20:30Z,246,243,high
2022-09-01T21:00Z,243,239,high
2022-09-01T21:30Z,241,237,high
2022-09-01T22:00Z,240,241,high
2022-09-01T22:30Z,241,241,high
2022-09-01T23:00Z,243,234,high
2022-09-01T23:30Z,244,242,high
2022-09-02T00:00Z,242,243,high
2022-09-02T00:30Z,243,244,high
2022-09-02T01:00Z,246,244,high
2022-09-02T01:30Z,247,247,high
2022-09-02T02:00Z,249,246,high
2022-09-02T02:30Z,251,246,high
2022-09-02T03:00Z,253,249,high
2022-09-02T03:30Z,253,252,high
2022-09-02T04:00Z,254,256,high
2022-09-02T04:30Z,260,257,high
2022-09-02T05:00Z,265,255,high
2022-09-02T05:30Z,268,255,high
2022-09-02T06:00Z,266,260,high
2022-09-02T06:30Z,266,262,high
2022-09-02T07:00Z,266,259,high
2022-09-02T07:30Z,260,252,high
2022-09-02T08:00Z,257,247,high
2022-09-02T08:30Z,251,246,high
2022-09-02T09:00Z,243,242,high
2022-09-02T09:30Z,238,236,high
2022-09-02T10:00Z,231,232,high
2022-09-02T10:30Z,227,228,high
2022-09-02T11:00Z,223,228,high
2022-09-02T11:30Z,220,216,high
2022-09-02T12:00Z,219,212,high
2022-09-02T12:30Z,215,222,high
2022-09-02T13:00Z,213,209,high
2022-09-02T13:30Z,213,206,high
